project_id,window_id,from_tag,to_tag,duration_days,is_short_lt_1d,is_short_lt_7d,is_short_lt_14d,analysis_set,total_commits,total_added,total_deleted,total_churn,unique_authors,mean_endpoint_code_lines,mean_endpoint_kloc,commits_per_day,added_per_day,deleted_per_day,churn_per_day,churn_per_kloc_day
click,click_W01,8.1.6,8.1.7,29.892269,False,False,False,primary,7,38,25,63,4,13455.500000,13.455500,0.234174,1.271232,0.836337,2.107568,0.156632
click,click_W02,8.1.7,8.1.8,489.986620,False,False,False,primary,60,1767,1430,3197,19,13554.500000,13.554500,0.122452,3.606221,2.918447,6.524668,0.481365
click,click_W03,8.1.8,8.2.0,142.217014,False,False,False,primary,105,6511,5270,11781,24,14089.000000,14.089000,0.738308,45.782145,37.056045,82.838190,5.879636
click,click_W04,8.2.0,8.2.1,10.036273,False,False,True,primary,18,2027,885,2912,8,14570.500000,14.570500,1.793494,201.967401,88.180143,290.147544,19.913355
click,click_W05,8.2.1,8.2.2,70.225521,False,False,False,primary,49,1809,1323,3132,15,14834.000000,14.834000,0.697752,25.759866,18.839305,44.599171,3.006551
click,click_W06,8.2.2,8.3.0,45.047836,False,False,False,primary,74,3134,1555,4689,13,15661.500000,15.661500,1.642698,69.570490,34.518862,104.089352,6.646193
click,click_W07,8.3.0,8.3.1,63.623542,False,False,False,primary,54,1971,1156,3127,17,16387.000000,16.387000,0.848742,30.979099,18.169375,49.148474,2.999236
flask,flask_W01,3.0.0,3.0.1,110.230417,False,False,False,primary,20,761,587,1348,5,12635.500000,12.635500,0.181438,6.903721,5.325209,12.228930,0.967823
flask,flask_W02,3.0.1,3.0.2,16.045394,False,False,False,primary,4,23,5,28,3,12687.500000,12.687500,0.249293,1.433433,0.311616,1.745049,0.137541
flask,flask_W03,3.0.2,3.0.3,63.928125,False,False,False,primary,6,453,333,786,2,12706.000000,12.706000,0.093855,7.086083,5.208975,12.295058,0.967658
flask,flask_W04,3.0.3,3.1.0,219.958657,False,False,False,primary,69,1513,988,2501,16,12839.000000,12.839000,0.313695,6.878565,4.491753,11.370319,0.885608
flask,flask_W05,3.1.0,3.1.1,180.856111,False,False,False,primary,21,2041,997,3038,8,12953.500000,12.953500,0.116114,11.285214,5.512670,16.797884,1.296783
flask,flask_W06,3.1.1,3.1.2,98.253426,False,False,False,primary,20,978,825,1803,6,12955.000000,12.955000,0.203555,9.953851,8.396654,18.350505,1.416481
flask,flask_W07,3.1.2,3.1.3,183.332523,False,False,False,primary,16,2100,1331,3431,5,12968.000000,12.968000,0.087273,11.454596,7.260032,18.714628,1.443139
requests,requests_W01,v2.30.0,v2.31.0,18.987500,False,False,False,primary,5,59,11,70,3,7972.500000,7.972500,0.263331,3.107307,0.579329,3.686636,0.462419
requests,requests_W02,v2.31.0,v2.32.0,364.017002,False,False,False,primary,69,1324,271,1595,30,8135.000000,8.135000,0.189552,3.637193,0.744471,4.381663,0.538619
requests,requests_W03,v2.32.0,v2.32.1,0.264271,True,True,True,sensitivity_only,1,10,2,12,1,8289.000000,8.289000,3.783997,37.839968,7.567994,45.407962,5.478099
requests,requests_W04,v2.32.1,v2.32.2,0.861725,True,True,True,sensitivity_only,3,47,8,55,1,8302.000000,8.302000,3.481391,54.541791,9.283709,63.825501,7.687967
requests,requests_W05,v2.32.2,v2.32.3,7.866655,False,False,True,primary,5,109,22,131,2,8347.000000,8.347000,0.635594,13.855953,2.796614,16.652567,1.995036
requests,requests_W06,v2.32.3,v2.32.4,376.043472,False,False,False,primary,33,519,519,1038,15,8402.000000,8.402000,0.087756,1.380160,1.380160,2.760319,0.328531
requests,requests_W07,v2.32.4,v2.32.5,70.154711,False,False,False,primary,9,148,66,214,7,8418.500000,8.418500,0.128288,2.109623,0.940778,3.050401,0.362345
urllib3,urllib3_W01,2.2.3,2.3.0,100.871308,False,False,False,primary,25,1475,583,2058,10,24011.500000,24.011500,0.247841,14.622592,5.779642,20.402234,0.849686
urllib3,urllib3_W02,2.3.0,2.4.0,109.307627,False,False,False,primary,22,2653,381,3034,10,24380.500000,24.380500,0.201267,24.270950,3.485576,27.756526,1.138472
urllib3,urllib3_W03,2.4.0,2.5.0,68.957558,False,False,False,primary,14,703,355,1058,9,24583.000000,24.583000,0.203023,10.194677,5.148094,15.342771,0.624121
urllib3,urllib3_W04,2.5.0,2.6.0,170.047083,False,False,False,primary,38,3503,2341,5844,16,24946.500000,24.946500,0.223468,20.600177,13.766775,34.366952,1.377626
urllib3,urllib3_W05,2.6.0,2.6.1,3.001100,False,True,True,sensitivity_only,2,24,6,30,1,25163.000000,25.163000,0.666422,7.997069,1.999267,9.996336,0.397263
urllib3,urllib3_W06,2.6.1,2.6.2,3.027002,False,True,True,sensitivity_only,2,59,6,65,1,25186.500000,25.186500,0.660720,19.491231,1.982159,21.473390,0.852575
urllib3,urllib3_W07,2.6.2,2.6.3,27.023750,False,False,False,primary,8,224,95,319,4,25233.000000,25.233000,0.296036,8.289005,3.515426,11.804431,0.467817
